taxa,PC1,PC2,PC3
N0060,-6.91342710755312,12.6058177449604,-31.4205249941975
N0061,-151.926309757817,-22.6243616238673,-42.895471089038
N0062,-161.590292067854,-12.5736957528634,-15.6105691322015
N0063,-165.737746944689,-12.8515896099851,-12.2192886962981
N0064,-82.1174154598135,-7.99242800825568,-48.1552351372597
N0065,-133.194154519658,-11.511646859072,-9.0498418523881
N0066,-161.633652132012,-13.5898450907824,-13.5459883099077
N0067,-157.0738913564,-20.0876033924558,-27.5138596852911
N0068,-157.128048996325,-22.8851905263286,-35.5881692263349
N0069,-151.600104768653,-20.0656295775403,-34.6005879547791
N0070,-128.011356443417,-3.73588245622854,-10.0824583752772
N0071,-1.70529137393379,9.89930588280759,-32.0512804991316
N0072,-160.470262590237,-17.5802485067831,-27.3466966479338
N0073,-159.925859003863,-18.240772760117,-28.5736599840968
N0074,-163.76616929176,-13.4090774527771,-5.49643148596455
N0075,-164.236448169287,-13.5493420171068,-5.35003416043019
N0076,-3.63930713950088,9.57677017463331,-33.4937075631159
N0077,-157.943238605864,-19.5088284305622,-27.8069730202438
N0078,-156.023765270182,-19.8292604526422,-30.4041240790665
N0079,-56.2575102594561,7.34910179494369,-29.6839200293484
N0080,-136.250822504102,-27.2292596164218,-19.0305041127981
N0081,-167.028426784931,-10.7848124422014,-1.37581117886392
N0082,-155.253419850287,-23.4586578360685,-38.368392659322
N0083,-153.43587420494,-19.7094472439163,-40.3344812740076
N0084,-93.3325459933848,0.970704499602244,-25.1518997434872
N0085,-173.49588293436,1.99856971226362,26.9162978950733
N0086,-167.989306966094,-6.76881339000708,2.68681109051075
N0087,-95.7481091625464,-0.186205706110056,-9.07647013897037
N0088,-161.508399162859,-22.5272929844336,-22.7799386763503
N0089,-161.036734507931,-23.2862790269475,-25.184167352052
N0090,-156.829940891038,-15.6549855896349,-36.5660590367343
N0091,-161.091746941674,-10.9160471675881,-8.3657928099431
N0092,-163.165259305853,-11.6935868162683,-6.67273278658732
N0093,-157.953727280956,-10.7811943431148,-12.0456767735564
N0094,-145.036008374482,-16.6684549549162,-31.6847577724725
N0095,-157.64704173551,-16.9121429274755,-24.3370006884168
N0096,-134.085317116072,-13.9472843245106,-29.6302423897106
N0097,-135.724034116874,-10.1154132100857,-24.4121681484903
N0098,-164.197732641541,-9.3032674024959,-8.39725899875619
N0099,-78.5102657284161,-16.7126893076688,-51.2072828466717
N0100,-87.9450699688942,-14.8901288759776,-36.2626777850933
N0101,-159.166100268368,-14.7475797075657,-24.3047588612352
N0102,-148.74787175374,-30.7643815011952,-53.9070686296793
N0103,-156.945870343908,-22.8809955004375,-34.6824315262475
N0104,-78.0049825038767,-0.979755183297392,-29.7489950253477
N0105,-149.616514904823,-10.4385937023192,-13.2802522632938
N0106,-133.592146828105,-3.24872175482927,7.71889796870568
N0107,42.5669860440012,8.23500541341866,-15.7670103177732
N0108,-95.2546707954691,3.74011767603228,19.5215691808959
N0109,-74.3395505645267,-5.99608523341323,-7.25919776053343
N0110,-100.897578197765,1.08940429555332,21.4137028275513
N0111,-37.360340335633,2.93780597359525,-12.2974175283321
N0112,52.8825098868141,16.6014910207414,-13.18349944481
N0113,-136.913268989286,-12.2052688900121,-14.1850989809735
N0114,-75.0231216885583,-6.42669672526273,1.12307685998501
N0115,-128.740565184036,-9.66254143634852,12.7042430985911
N0116,-75.2509975757622,-6.66009468810913,0.501068821296247
N0117,-93.8555828499312,-5.03498564254488,34.2604732057391
N0118,-109.701588850207,-6.78801219324588,0.396183357468994
N0119,-40.8599275232367,15.31900566481,6.65794763479087
N0120,-123.13192775906,7.02922756625978,5.63754183335795
N0121,-55.0831489429074,-9.17379478173824,26.3919498929222
N0122,-89.6323017887609,-2.82187898713413,-20.9215151414158
N0123,-53.2605595746013,-11.5815004868146,21.3300841405004
N0124,-64.7584852250608,-8.38905150800631,37.0517375887537
N0125,-92.6743727875145,-4.53846044678274,17.6445659585297
N0126,-127.997688917031,-4.56393527064412,13.9996148548957
N0127,60.489596946753,24.5768435121924,-16.371976212121
N0128,-105.576851159279,-19.9463558434689,-11.3895608675719
N0129,-102.680744948034,-7.40765877499814,25.252858591462
N0130,-104.960489988657,-9.60045516977898,22.3348849213134
N0131,7.09819058579902,-12.8684577156894,2.10061547784347
N0132,-96.2688072826536,3.22044635601851,25.2358001369652
N0133,-68.3407094785259,-13.1742404338516,16.9277875560235
N0134,-92.8723850130394,2.04269161177774,14.0760455775515
